ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,last_updated_utc
A,Agilent Technologies Inc.,stocks,us,XNYS,CS,true,usd,0001090872,2025-09-18T06:05:34.656745664Z
AA,Alcoa Corporation,stocks,us,XNYS,CS,true,usd,0001675149,2025-09-18T06:05:34.656746345Z
AAA,Alternative Access First Priority CLO Bond ETF,stocks,us,ARCX,ETF,true,usd,0001776878,2025-09-18T06:05:34.656746425Z
AAAA,Amplius Aggressive Asset Allocation ETF,stocks,us,BATS,ETF,true,usd,,2025-09-18T06:05:34.656746586Z
AAAU,Goldman Sachs Physical Gold ETF Shares,stocks,us,BATS,ETF,true,usd,0001708646,2025-09-18T06:05:34.656746666Z
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,stocks,us,XNAS,CS,true,usd,0002034334,2025-09-18T06:05:34.656746746Z
AACBR,Artius II Acquisition Inc. Rights,stocks,us,XNAS,RIGHT,true,usd,0002034334,2025-09-18T06:05:34.656746826Z
AACBU,Artius II Acquisition Inc. Units,stocks,us,XNAS,UNIT,true,usd,0002034334,2025-09-18T06:05:34.656746906Z
AACG,ATA Creativity Global American Depositary Shares,stocks,us,XNAS,ADRC,true,usd,0001420529,2025-09-18T06:05:34.656747247Z
AACI,Armada Acquisition Corp. II Class A Ordinary Shares,stocks,us,XNAS,CS,true,usd,0002044009,2025-09-18T06:05:34.656747337Z
AACIU,Armada Acquisition Corp. II Units,stocks,us,XNAS,UNIT,true,usd,0002044009,2025-09-18T06:05:34.656747487Z
AACIW,Armada Acquisition Corp. II Warrant,stocks,us,XNAS,WARRANT,true,usd,0002044009,2025-09-18T06:05:34.656747567Z
AACT,Ares Acquisition Corporation II,stocks,us,XNYS,CS,true,usd,0001853138,2025-09-18T06:05:34.656747648Z
AACT.U,"Ares Acquisition Corporation II Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant",stocks,us,XNYS,UNIT,true,usd,0001853138,2025-09-18T06:05:34.656747728Z
AACT.WS,"Ares Acquisition Corporation II Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50",stocks,us,XNYS,WARRANT,true,usd,0001853138,2025-09-18T06:05:34.656747808Z
AADR,AdvisorShares Dorsey Wright ADR ETF,stocks,us,XNAS,ETF,true,usd,0001408970,2025-09-18T06:05:34.656747888Z
AAL,American Airlines Group Inc.,stocks,us,XNAS,CS,true,usd,0000006201,2025-09-18T06:05:34.656748108Z
AALG,Leverage Shares 2X Long AAL Daily ETF,stocks,us,XNAS,ETF,true,usd,0001976322,2025-09-18T06:05:34.656748189Z
AAM,AA Mission Acquisition Corp.,stocks,us,XNYS,CS,true,usd,0002012964,2025-09-18T06:05:34.656748269Z
AAM.U,"AA Mission Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one-half of one redeemable warrant",stocks,us,XNYS,UNIT,true,usd,0002012964,2025-09-18T06:05:34.656748349Z
AAM.WS,"AA Mission Acquisition Corp. Warrants, each whole warrant entitles the holder to purchase one Class A ordinary share at a price of $11.50 per share",stocks,us,XNYS,WARRANT,true,usd,0002012964,2025-09-18T06:05:34.656748429Z
AAME,Atlantic American Corp,stocks,us,XNAS,CS,true,usd,0000008177,2025-09-18T06:05:34.656748509Z
AAMI,Acadian Asset Management Inc.,stocks,us,XNYS,CS,true,usd,0001748824,2025-09-18T06:05:34.656748589Z
AAOI,"Applied Optoelectronics, Inc.",stocks,us,XNAS,CS,true,usd,0001158114,2025-09-18T06:05:34.65674867Z
AAON,Aaon Inc,stocks,us,XNAS,CS,true,usd,0000824142,2025-09-18T06:05:34.65674904Z
AAP,ADVANCE AUTO PARTS INC,stocks,us,XNYS,CS,true,usd,0001158449,2025-09-18T06:05:34.65674913Z
AAPB,GraniteShares ETF Trust GraniteShares 2x Long AAPL Daily ETF,stocks,us,XNAS,ETF,true,usd,0001689873,2025-09-18T06:05:34.656749251Z
AAPD,Direxion Daily AAPL Bear 1X Shares,stocks,us,XNAS,ETF,true,usd,,2025-09-18T06:05:34.656749341Z
AAPG,Ascentage Pharma Group International American Depository Shares,stocks,us,XNAS,ADRC,true,usd,0002023311,2025-09-18T06:05:34.656749421Z
AAPL,Apple Inc.,stocks,us,XNAS,CS,true,usd,0000320193,2025-09-18T06:05:34.656749501Z
AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2026,stocks,us,BATS,ETF,true,usd,0001415726,2025-09-18T06:05:34.656749581Z
AAPU,Direxion Shares ETF Trust Direxion Daily AAPL Bull 2X Shares,stocks,us,XNAS,ETF,true,usd,,2025-09-18T06:05:34.656749661Z
AAPW,Roundhill AAPL WeeklyPay ETF,stocks,us,BATS,ETF,true,usd,,2025-09-18T06:05:34.656749812Z
AAPX,T-Rex 2X Long Apple Daily Target ETF,stocks,us,BATS,ETF,true,usd,,2025-09-18T06:05:34.656749892Z
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,stocks,us,BATS,ETF,true,usd,0001848758,2025-09-18T06:05:34.656749972Z
AARD,"Aardvark Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,true,usd,0001774857,2025-09-18T06:05:34.656750052Z
AAT,"AMERICAN ASSETS TRUST, INC.",stocks,us,XNYS,CS,true,usd,0001500217,2025-09-18T06:05:34.656750152Z
AAUC,Allied Gold Corporation,stocks,us,XNYS,CS,true,usd,0001993344,2025-09-18T06:05:34.656750243Z
AAUS,Alpha Architect US Equity ETF,stocks,us,XNAS,ETF,true,usd,,2025-09-18T06:05:34.656750323Z
AAVM,EA Series Trust Alpha Architect Global Factor Equity ETF,stocks,us,XNAS,ETF,true,usd,,2025-09-18T06:05:34.656750403Z
AAXJ,iShares MSCI All Country Asia ex Japan ETF,stocks,us,XNAS,ETF,true,usd,0001100663,2025-09-18T06:05:34.656750663Z
AB,"AllianceBernstein Holding, L.P.",stocks,us,XNYS,CS,true,usd,0000825313,2025-09-18T06:05:34.656750733Z
ABAT,American Battery Technology Company Common Stock,stocks,us,XNAS,CS,true,usd,0001576873,2025-09-18T06:05:34.656750864Z
ABBV,ABBVIE INC.,stocks,us,XNYS,CS,true,usd,0001551152,2025-09-18T06:05:34.656750944Z
ABCB,Ameris Bancorp,stocks,us,XNYS,CS,true,usd,0000351569,2025-09-18T06:05:34.656751024Z
